time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-21 00:00:00+00:00,0,0,3,1
2024-07-28 00:00:00+00:00,0,0,3,1
2024-08-03 00:00:00+00:00,5,4,63,2
2024-08-04 00:00:00+00:00,4,3,0,0
2024-08-05 00:00:00+00:00,4,3,0,0
2024-08-06 00:00:00+00:00,1,1,0,0
2024-08-09 00:00:00+00:00,1,1,0,0
2024-08-10 00:00:00+00:00,2,1,0,0
2024-08-11 00:00:00+00:00,2,1,0,0
2024-08-12 00:00:00+00:00,1,1,0,0
2024-08-14 00:00:00+00:00,0,0,1,1
2024-08-17 00:00:00+00:00,1,1,0,0
2024-08-18 00:00:00+00:00,0,0,3,1
2024-08-19 00:00:00+00:00,4,2,0,0
2024-08-20 00:00:00+00:00,3,1,21,3
2024-08-21 00:00:00+00:00,3,2,0,0
2024-08-22 00:00:00+00:00,2,2,23,1
2024-08-24 00:00:00+00:00,1,1,0,0
2024-08-25 00:00:00+00:00,2,1,0,0
2024-08-27 00:00:00+00:00,0,0,3,1
2024-08-28 00:00:00+00:00,2,1,16,1
2024-08-29 00:00:00+00:00,1,1,1,1
2024-08-30 00:00:00+00:00,1,1,0,0
2024-08-31 00:00:00+00:00,3,2,0,0
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-03 00:00:00+00:00,1,1,0,0
2024-09-04 00:00:00+00:00,2,1,14,1
2024-09-05 00:00:00+00:00,1,1,13,1
2024-09-06 00:00:00+00:00,1,1,4,1
2024-09-07 00:00:00+00:00,2,1,0,0
2024-09-08 00:00:00+00:00,2,2,0,0
2024-09-09 00:00:00+00:00,0,0,28,4
2024-09-10 00:00:00+00:00,0,0,11,2
2024-09-11 00:00:00+00:00,3,3,1,1
2024-09-12 00:00:00+00:00,0,0,39,3
2024-09-13 00:00:00+00:00,3,1,67,3
2024-09-14 00:00:00+00:00,3,2,0,0
2024-09-16 00:00:00+00:00,4,3,6,2
2024-09-17 00:00:00+00:00,2,1,63,2
2024-09-18 00:00:00+00:00,1,1,16,2
2024-09-19 00:00:00+00:00,0,0,38,2
